Jahr,FLOPS,Rechner
1941,0.3,Zuse Z3
1950,682,Univac 1101
1956,10670,IBM 704
1959,97350,IBM 7090
1961,371700,IBM 7030
1969,3.30E+06,CDC 7600
1976,1.10E+08,Cray-1S
1985,1.22E+09,Cray-2s/4-128
1990,2.32E+10,NEC SX-3/44
1996,1.06E+12,Intel ASCI Red
2002,3.59E+13,NEC Earth-Simulator
2008,1.03E+15,Roadrunner
2016,9.30E+16,TaihuLight
2018,1.22E+17,Summit
